Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Disease
anxiete,douleur_bras_gauche,douleur_thoracique,fatigue_extreme,nausees,sueurs_froides,vertiges,,,,,,,,,infarctus
fatigue,maux_de_tete,nez_qui_coule,obstruction_nasale,yeux_qui_piquent,,,,,,,,,,,rhinite_allergique
cicatrisation_lente,fatigue,fourmillements,perte_de_poids,soif_excessive,urines_frequentes,vision_trouble,,,,,,,,,diabete_type2
diarrhee,fievre,nausees,vomissements,,,,,,,,,,,,appendicite
cheveux_cassants,depression,fatigue,frilosite,oedemes,peau_seche,prise_de_poids,,,,,,,,,hypothyroidie
constipation,diarrhee,douleur_abdominale_droite,douleur_au_mouvement,fievre,nausees,vomissements,,,,,,,,,appendicite
cicatrisation_lente,faim_excessive,fatigue,soif_excessive,urines_frequentes,vision_trouble,,,,,,,,,,diabete_type2
douleur_thoracique,fievre,hemoptysie,perte_appetit,perte_de_poids,sueurs_nocturnes,toux_chronique,,,,,,,,,tuberculose
douleur_dos,douleur_position,fatigue,irradiation_jambe,limitation_mouvement,raideur_dos,spasmes_musculaires,,,,,,,,,lombalgie
douleur_thoracique,essoufflement,expectorations,fatigue,sueurs_nocturnes,toux,,,,,,,,,,pneumonie
essoufflement,expectorations,fatigue,sifflement_respiratoire,toux,,,,,,,,,,,bronchite
essoufflement,expectorations,fatigue,fievre,sifflement_respiratoire,toux,,,,,,,,,,bronchite
aura,confusion_post_crise,convulsions,fatigue_post_crise,morsure_langue,perte_conscience,,,,,,,,,,epilepsie
demangeaisons,eruption_cutanee,peau_seche,sensibilite_peau,,,,,,,,,,,,eczema
demangeaisons,douleurs_articulaires,inflammation,peau_ecailleuse,plaques_peau,,,,,,,,,,,psoriasis
difficulte_a_parler,oppression_thoracique,sifflement_respiratoire,toux_seche,,,,,,,,,,,,asthme
maux_de_tete,nez_qui_coule,obstruction_nasale,yeux_qui_piquent,,,,,,,,,,,,rhinite_allergique
fatigue,maux_de_tete_intense,nausees,sensibilite_bruit,sensibilite_lumiere,vertiges,,,,,,,,,,migraine
douleur_thoracique,essoufflement,expectorations,fatigue,frissons,sueurs_nocturnes,toux,,,,,,,,,pneumonie
fatigue,maux_de_tete_intense,nausees,sensibilite_bruit,sensibilite_lumiere,vertiges,,,,,,,,,,migraine
difficulte_a_avaler,fievre,ganglions_gonfles,mal_gorge,maux_de_tete,,,,,,,,,,,angine
douleur_thoracique,essoufflement,expectorations,fievre,frissons,sueurs_nocturnes,toux,,,,,,,,,pneumonie
abdomen_gonflé,fatigue,oedemes_jambes,prise_de_poids,toux_nocturne,,,,,,,,,,,insuffisance_cardiaque
douleur_thoracique,essoufflement,expectorations,fievre,toux,,,,,,,,,,,bronchite
cicatrisation_lente,faim_excessive,fourmillements,soif_excessive,urines_frequentes,vision_trouble,,,,,,,,,,diabete_type2
diarrhee,douleurs_abdominales,fatigue,fievre,nausees,vomissements,,,,,,,,,,gastroenterite
anxiete,essoufflement,palpitations,syncope,vertiges,,,,,,,,,,,arythmie
douleurs_musculaires,fievre_cyclique,frissons,maux_de_tete,sueurs,vomissements,,,,,,,,,,paludisme
chaleur_articulaire,douleurs_articulaires,fievre,gonflement_articulations,limitation_mouvement,raideur_matinale,,,,,,,,,,arthrite
douleur_dos,douleur_position,fatigue,irradiation_jambe,limitation_mouvement,raideur_dos,spasmes_musculaires,,,,,,,,,lombalgie
abdomen_gonflé,essoufflement,fatigue,oedemes_jambes,prise_de_poids,toux_nocturne,vertiges,,,,,,,,,insuffisance_cardiaque
douleurs_musculaires,fievre_cyclique,frissons,maux_de_tete,vomissements,,,,,,,,,,,paludisme
brulures_estomac,douleurs_abdominales,nausees,perte_de_poids,sang_dans_selles,vomissements,,,,,,,,,,ulcere_gastrique
douleur_thoracique,fatigue,fievre,hemoptysie,perte_appetit,perte_de_poids,sueurs_nocturnes,toux_chronique,,,,,,,,tuberculose
anxiete,difficulte_a_parler,oppression_thoracique,sifflement_respiratoire,toux_seche,,,,,,,,,,,asthme
douleur_abdominale_droite,fatigue,fievre,urine_foncee,vomissements,,,,,,,,,,,hepatite
confusion,faiblesse_bras,maux_de_tete_soudain,paralysie_faciale,perte_equilibre,trouble_parole,trouble_vision,vertiges,,,,,,,,avc
difficulte_a_avaler,fievre,ganglions_gonfles,mal_gorge,maux_de_tete,nausees,,,,,,,,,,angine
chaleur_articulaire,douleurs_articulaires,fatigue,gonflement_articulations,raideur_matinale,,,,,,,,,,,arthrite
diarrhee,douleurs_abdominales,fatigue,fievre,nausees,perte_appetit,vomissements,,,,,,,,,gastroenterite
aura_visuelle,maux_de_tete_intense,nausees,sensibilite_bruit,sensibilite_lumiere,vomissements,,,,,,,,,,migraine
bradycardie,cheveux_cassants,constipation,fatigue,frilosite,oedemes,peau_seche,prise_de_poids,,,,,,,,hypothyroidie
confusion,faiblesse_bras,maux_de_tete_soudain,paralysie_faciale,trouble_parole,trouble_vision,vertiges,,,,,,,,,avc
douleur_thoracique,essoufflement,expectorations,fatigue,fievre,sifflement_respiratoire,toux,,,,,,,,,bronchite
brulures_estomac,douleurs_abdominales,nausees,perte_de_poids,sang_dans_selles,,,,,,,,,,,ulcere_gastrique
essoufflement,fievre,mal_gorge,maux_de_tete,perte_odorat,toux_seche,,,,,,,,,,covid19
bourdonnements_oreilles,epistaxis,essoufflement,fatigue,maux_de_tete,vertiges,vision_trouble,,,,,,,,,hypertension
bourdonnements_oreilles,epistaxis,essoufflement,fatigue,maux_de_tete,palpitations,vertiges,,,,,,,,,hypertension
brulures_estomac,douleurs_abdominales,nausees,perte_de_poids,sang_dans_selles,vomissements,,,,,,,,,,ulcere_gastrique
douleurs_musculaires,fatigue,fievre,frissons,mal_gorge,perte_appetit,toux,,,,,,,,,grippe
demangeaisons,inflammation,ongles_epaissis,peau_ecailleuse,plaques_peau,,,,,,,,,,,psoriasis
demangeaisons,eternuements,fatigue,maux_de_tete,nez_qui_coule,obstruction_nasale,yeux_qui_piquent,,,,,,,,,rhinite_allergique
douleur_dos,douleur_position,fatigue,irradiation_jambe,limitation_mouvement,raideur_dos,spasmes_musculaires,,,,,,,,,lombalgie
croutes,demangeaisons,inflammation,peau_rouge,peau_seche,,,,,,,,,,,eczema
chaleur_articulaire,fievre,gonflement_articulations,limitation_mouvement,perte_appetit,raideur_matinale,,,,,,,,,,arthrite
douleur_thoracique,essoufflement,expectorations,sifflement_respiratoire,toux,,,,,,,,,,,bronchite
confusion,eruption_cutanee,fievre,maux_de_tete_intense,nausees,photophobie,raideur_nuque,vomissements,,,,,,,,meningite
crampes,diarrhee,douleurs_abdominales,fievre,nausees,perte_appetit,,,,,,,,,,gastroenterite
constipation,fievre,nausees,perte_appetit,vomissements,,,,,,,,,,,appendicite
cicatrisation_lente,faim_excessive,fatigue,fourmillements,perte_de_poids,soif_excessive,urines_frequentes,vision_trouble,,,,,,,,diabete_type2
difficulte_a_avaler,ganglions_gonfles,mal_gorge,toux,,,,,,,,,,,,angine
demangeaisons,eternuements,maux_de_tete,nez_qui_coule,toux,yeux_qui_piquent,,,,,,,,,,rhinite_allergique
douleurs_musculaires,fatigue,frissons,maux_de_tete,nausees,sueurs,,,,,,,,,,paludisme
aura,confusion_post_crise,convulsions,fatigue_post_crise,perte_conscience,,,,,,,,,,,epilepsie
maux_de_tete_intense,sensibilite_bruit,sensibilite_lumiere,vertiges,,,,,,,,,,,,migraine
douleur_dos,douleur_position,fatigue,irradiation_jambe,raideur_dos,spasmes_musculaires,,,,,,,,,,lombalgie
chaleur_articulaire,fatigue,fievre,gonflement_articulations,perte_appetit,raideur_matinale,,,,,,,,,,arthrite
alternance_diarrhee_constipation,ballonnements,douleurs_abdominales,fatigue,nausees,,,,,,,,,,,syndrome_colon_irritable
cicatrisation_lente,faim_excessive,fatigue,fourmillements,perte_de_poids,soif_excessive,urines_frequentes,,,,,,,,,diabete_type2
douleur_thoracique,essoufflement,expectorations,fievre,sifflement_respiratoire,toux,,,,,,,,,,bronchite
abdomen_gonflé,essoufflement,fatigue,oedemes_jambes,prise_de_poids,toux_nocturne,,,,,,,,,,insuffisance_cardiaque
douleur_thoracique,essoufflement,fatigue,palpitations,syncope,vertiges,,,,,,,,,,arythmie
anxiete,difficulte_a_parler,essoufflement,fatigue,oppression_thoracique,sifflement_respiratoire,toux_seche,,,,,,,,,asthme
demangeaisons,douleurs_articulaires,inflammation,ongles_epaissis,peau_ecailleuse,plaques_peau,,,,,,,,,,psoriasis
douleurs_musculaires,fatigue,fievre,nez_qui_coule,perte_appetit,toux,,,,,,,,,,grippe
difficulte_a_avaler,fievre,ganglions_gonfles,mal_gorge,toux,,,,,,,,,,,angine
croutes,demangeaisons,eruption_cutanee,peau_qui_suinte,peau_rouge,peau_seche,,,,,,,,,,eczema
aura,confusion_post_crise,convulsions,fatigue_post_crise,incontinence,perte_conscience,,,,,,,,,,epilepsie
cicatrisation_lente,fourmillements,perte_de_poids,soif_excessive,urines_frequentes,vision_trouble,,,,,,,,,,diabete_type2
demangeaisons,eruption_cutanee,peau_qui_suinte,peau_rouge,,,,,,,,,,,,eczema
diarrhee,insomnie,palpitations,perte_de_poids,sudation_excessive,tremblements,,,,,,,,,,hyperthyroidie
douleur_dos,fatigue,irradiation_jambe,limitation_mouvement,raideur_dos,spasmes_musculaires,,,,,,,,,,lombalgie
diarrhee,exophtalmie,fatigue,nervosité,palpitations,perte_de_poids,tremblements,,,,,,,,,hyperthyroidie
demangeaisons,eruption_cutanee,inflammation,peau_rouge,peau_seche,,,,,,,,,,,eczema
anemie,fatigue,fievre_cyclique,frissons,maux_de_tete,nausees,sueurs,vomissements,,,,,,,,paludisme
douleur_thoracique,essoufflement,expectorations,fievre,frissons,maux_de_tete,sueurs_nocturnes,toux,,,,,,,,pneumonie
bradycardie,constipation,depression,fatigue,frilosite,prise_de_poids,,,,,,,,,,hypothyroidie
douleur_thoracique,essoufflement,expectorations,fievre,sifflement_respiratoire,toux,,,,,,,,,,bronchite
croutes,eruption_cutanee,inflammation,peau_qui_suinte,peau_rouge,peau_seche,,,,,,,,,,eczema
chaleur_articulaire,douleurs_articulaires,fievre,gonflement_articulations,raideur_matinale,,,,,,,,,,,arthrite
alternance_diarrhee_constipation,ballonnements,crampes,douleurs_abdominales,fatigue,gaz,,,,,,,,,,syndrome_colon_irritable
exophtalmie,fatigue,palpitations,perte_de_poids,tremblements,,,,,,,,,,,hyperthyroidie
douleurs_musculaires,fievre,frissons,maux_de_tete,nez_qui_coule,perte_appetit,toux,,,,,,,,,grippe
aura_visuelle,fatigue,maux_de_tete_intense,nausees,sensibilite_lumiere,,,,,,,,,,,migraine
chaleur_articulaire,douleurs_articulaires,fatigue,gonflement_articulations,limitation_mouvement,,,,,,,,,,,arthrite
fatigue,insomnie,nervosité,perte_de_poids,sudation_excessive,tremblements,,,,,,,,,,hyperthyroidie
abdomen_gonflé,essoufflement,fatigue,oedemes_jambes,palpitations,prise_de_poids,toux_nocturne,,,,,,,,,insuffisance_cardiaque
fatigue,fievre,maux_de_tete,nez_qui_coule,toux,,,,,,,,,,,grippe
douleurs_musculaires,fievre,frissons,mal_gorge,maux_de_tete,nez_qui_coule,toux,,,,,,,,,grippe
anxiete,essoufflement,fatigue,oppression_thoracique,sifflement_respiratoire,toux_seche,,,,,,,,,,asthme
difficulte_a_avaler,fievre,ganglions_gonfles,mal_gorge,maux_de_tete,nausees,,,,,,,,,,angine
alternance_diarrhee_constipation,ballonnements,crampes,douleurs_abdominales,fatigue,gaz,,,,,,,,,,syndrome_colon_irritable
douleur_dos,douleur_position,fatigue,irradiation_jambe,limitation_mouvement,raideur_dos,spasmes_musculaires,,,,,,,,,lombalgie
anxiete,douleur_bras_gauche,essoufflement,fatigue_extreme,sueurs_froides,vertiges,,,,,,,,,,infarctus
brulures_estomac,douleurs_abdominales,faim_douloureuse,nausees,perte_de_poids,sang_dans_selles,vomissements,,,,,,,,,ulcere_gastrique
difficulte_a_parler,essoufflement,oppression_thoracique,sifflement_respiratoire,toux_seche,,,,,,,,,,,asthme
bradycardie,fatigue,frilosite,oedemes,peau_seche,prise_de_poids,,,,,,,,,,hypothyroidie
douleur_thoracique,essoufflement,expectorations,fievre,frissons,maux_de_tete,sueurs_nocturnes,toux,,,,,,,,pneumonie
douleur_thoracique,essoufflement,expectorations,fatigue,fievre,sifflement_respiratoire,toux,,,,,,,,,bronchite
constipation,diarrhee,douleur_abdominale_droite,fievre,nausees,perte_appetit,vomissements,,,,,,,,,appendicite
douleur_thoracique,essoufflement,palpitations,syncope,vertiges,,,,,,,,,,,arythmie
bradycardie,constipation,depression,fatigue,frilosite,oedemes,peau_seche,,,,,,,,,hypothyroidie
fatigue,nausees,sensibilite_bruit,sensibilite_lumiere,,,,,,,,,,,,migraine
douleur_abdominale_droite,fievre,jaunisse,nausees,perte_appetit,urine_foncee,,,,,,,,,,hepatite
faiblesse_bras,maux_de_tete_soudain,paralysie_faciale,perte_equilibre,trouble_parole,trouble_vision,vertiges,,,,,,,,,avc
bradycardie,cheveux_cassants,constipation,depression,frilosite,peau_seche,prise_de_poids,,,,,,,,,hypothyroidie
bourdonnements_oreilles,epistaxis,fatigue,maux_de_tete,palpitations,vertiges,vision_trouble,,,,,,,,,hypertension
douleur_thoracique,essoufflement,expectorations,fatigue,fievre,maux_de_tete,sueurs_nocturnes,,,,,,,,,pneumonie
anxiete,douleur_thoracique,essoufflement,fatigue,palpitations,syncope,vertiges,,,,,,,,,arythmie
diarrhee,nausees,perte_appetit,vomissements,,,,,,,,,,,,gastroenterite
confusion,faiblesse_bras,maux_de_tete_soudain,paralysie_faciale,perte_equilibre,trouble_parole,trouble_vision,vertiges,,,,,,,,avc
anxiete,difficulte_a_parler,essoufflement,fatigue,oppression_thoracique,sifflement_respiratoire,toux_seche,,,,,,,,,asthme
diarrhee,douleurs_abdominales,fievre,vomissements,,,,,,,,,,,,gastroenterite
confusion_post_crise,convulsions,fatigue_post_crise,morsure_langue,perte_conscience,,,,,,,,,,,epilepsie
alternance_diarrhee_constipation,ballonnements,douleurs_abdominales,fatigue,gaz,nausees,,,,,,,,,,syndrome_colon_irritable
chaleur_articulaire,douleurs_articulaires,fievre,gonflement_articulations,limitation_mouvement,raideur_matinale,,,,,,,,,,arthrite
alternance_diarrhee_constipation,ballonnements,crampes,douleurs_abdominales,fatigue,gaz,nausees,,,,,,,,,syndrome_colon_irritable
eruption_cutanee,fievre,maux_de_tete_intense,photophobie,raideur_nuque,vomissements,,,,,,,,,,meningite
diarrhee,douleurs_abdominales,fatigue,fievre,nausees,,,,,,,,,,,gastroenterite
douleur_dos,douleur_position,fatigue,irradiation_jambe,limitation_mouvement,spasmes_musculaires,,,,,,,,,,lombalgie
confusion,maux_de_tete_intense,nausees,photophobie,raideur_nuque,vomissements,,,,,,,,,,meningite
fatigue,oedemes_jambes,palpitations,toux_nocturne,vertiges,,,,,,,,,,,insuffisance_cardiaque
constipation,douleur_abdominale_droite,fievre,nausees,perte_appetit,vomissements,,,,,,,,,,appendicite
difficulte_a_parler,fatigue,oppression_thoracique,sifflement_respiratoire,toux_seche,,,,,,,,,,,asthme
difficulte_a_avaler,fatigue,fievre,mal_gorge,maux_de_tete,nausees,,,,,,,,,,angine
chaleur_articulaire,douleurs_articulaires,fievre,gonflement_articulations,limitation_mouvement,raideur_matinale,,,,,,,,,,arthrite
anxiete,douleur_thoracique,essoufflement,fatigue,syncope,vertiges,,,,,,,,,,arythmie
nausees,sensibilite_bruit,sensibilite_lumiere,vertiges,vomissements,,,,,,,,,,,migraine
anemie,fievre_cyclique,frissons,maux_de_tete,sueurs,vomissements,,,,,,,,,,paludisme
douleur_thoracique,essoufflement,expectorations,fievre,frissons,toux,,,,,,,,,,pneumonie
diarrhee,douleurs_abdominales,fatigue,fievre,nausees,perte_appetit,vomissements,,,,,,,,,gastroenterite
abdomen_gonflé,essoufflement,oedemes_jambes,toux_nocturne,vertiges,,,,,,,,,,,insuffisance_cardiaque
brulures_estomac,douleurs_abdominales,faim_douloureuse,nausees,perte_de_poids,sang_dans_selles,vomissements,,,,,,,,,ulcere_gastrique
diarrhee,douleurs_musculaires,fatigue,fievre,maux_de_tete,perte_odorat,toux_seche,,,,,,,,,covid19
anxiete,essoufflement,oppression_thoracique,sifflement_respiratoire,toux_seche,,,,,,,,,,,asthme
douleurs_articulaires,gonflement_articulations,limitation_mouvement,raideur_matinale,,,,,,,,,,,,arthrite
alternance_diarrhee_constipation,ballonnements,crampes,douleurs_abdominales,gaz,,,,,,,,,,,syndrome_colon_irritable
douleurs_musculaires,fatigue,fievre,frissons,mal_gorge,maux_de_tete,perte_appetit,toux,,,,,,,,grippe
douleurs_musculaires,fatigue,fievre,frissons,mal_gorge,maux_de_tete,nez_qui_coule,perte_appetit,,,,,,,,grippe
confusion,eruption_cutanee,fievre,nausees,photophobie,raideur_nuque,vomissements,,,,,,,,,meningite
demangeaisons,eruption_cutanee,peau_qui_suinte,peau_rouge,peau_seche,,,,,,,,,,,eczema
douleur_thoracique,fatigue,fievre,hemoptysie,perte_appetit,perte_de_poids,sueurs_nocturnes,,,,,,,,,tuberculose
anxiete,douleur_thoracique,essoufflement,fatigue_extreme,sueurs_froides,vertiges,,,,,,,,,,infarctus
diarrhee,douleur_abdominale_droite,douleur_au_mouvement,fievre,nausees,perte_appetit,vomissements,,,,,,,,,appendicite
douleur_thoracique,fievre,hemoptysie,sueurs_nocturnes,toux_chronique,,,,,,,,,,,tuberculose
anemie,douleurs_musculaires,fievre_cyclique,frissons,sueurs,,,,,,,,,,,paludisme
difficulte_a_avaler,fatigue,fievre,mal_gorge,maux_de_tete,nausees,,,,,,,,,,angine
bourdonnements_oreilles,essoufflement,maux_de_tete,palpitations,vertiges,vision_trouble,,,,,,,,,,hypertension
bourdonnements_oreilles,epistaxis,fatigue,maux_de_tete,vertiges,,,,,,,,,,,hypertension
bradycardie,cheveux_cassants,constipation,depression,fatigue,prise_de_poids,,,,,,,,,,hypothyroidie
demangeaisons,eternuements,fatigue,nez_qui_coule,obstruction_nasale,toux,yeux_qui_piquent,,,,,,,,,rhinite_allergique
exophtalmie,palpitations,perte_de_poids,sudation_excessive,tremblements,,,,,,,,,,,hyperthyroidie
eruption_cutanee,inflammation,peau_rouge,peau_seche,,,,,,,,,,,,eczema
douleur_thoracique,essoufflement,expectorations,fatigue,fievre,maux_de_tete,toux,,,,,,,,,pneumonie
confusion,faiblesse_bras,maux_de_tete_soudain,perte_equilibre,trouble_parole,trouble_vision,vertiges,,,,,,,,,avc
bourdonnements_oreilles,epistaxis,maux_de_tete,vertiges,vision_trouble,,,,,,,,,,,hypertension
confusion,faiblesse_bras,maux_de_tete_soudain,paralysie_faciale,perte_equilibre,trouble_parole,trouble_vision,vertiges,,,,,,,,avc
anemie,fatigue,fievre_cyclique,frissons,maux_de_tete,vomissements,,,,,,,,,,paludisme
difficulte_a_avaler,fatigue,fievre,ganglions_gonfles,mal_gorge,,,,,,,,,,,angine
fatigue,maux_de_tete_intense,nausees,sensibilite_bruit,sensibilite_lumiere,vertiges,,,,,,,,,,migraine
demangeaisons,douleurs_articulaires,inflammation,ongles_epaissis,peau_ecailleuse,plaques_peau,,,,,,,,,,psoriasis
aura,convulsions,fatigue_post_crise,morsure_langue,perte_conscience,,,,,,,,,,,epilepsie
constipation,depression,fatigue,frilosite,oedemes,peau_seche,prise_de_poids,,,,,,,,,hypothyroidie
diarrhee,douleurs_abdominales,fievre,nausees,,,,,,,,,,,,gastroenterite
demangeaisons,douleurs_articulaires,inflammation,peau_ecailleuse,plaques_peau,sensibilite_peau,,,,,,,,,,psoriasis
diarrhee,douleurs_musculaires,fatigue,mal_gorge,maux_de_tete,perte_odorat,toux_seche,,,,,,,,,covid19
fatigue,maux_de_tete_intense,nausees,sensibilite_bruit,sensibilite_lumiere,,,,,,,,,,,migraine
brulures_estomac,douleurs_abdominales,nausees,perte_de_poids,sang_dans_selles,vomissements,,,,,,,,,,ulcere_gastrique
douleur_thoracique,fatigue,fievre,hemoptysie,perte_de_poids,toux_chronique,,,,,,,,,,tuberculose
douleur_thoracique,fatigue,fievre,hemoptysie,perte_de_poids,sueurs_nocturnes,,,,,,,,,,tuberculose
demangeaisons,douleurs_articulaires,inflammation,peau_ecailleuse,plaques_peau,sensibilite_peau,,,,,,,,,,psoriasis
crampes,diarrhee,douleurs_abdominales,nausees,perte_appetit,vomissements,,,,,,,,,,gastroenterite
alternance_diarrhee_constipation,ballonnements,crampes,douleurs_abdominales,fatigue,gaz,nausees,,,,,,,,,syndrome_colon_irritable
anxiete,douleur_thoracique,essoufflement,palpitations,,,,,,,,,,,,arythmie
alternance_diarrhee_constipation,ballonnements,douleurs_abdominales,fatigue,nausees,,,,,,,,,,,syndrome_colon_irritable
essoufflement,fatigue,palpitations,syncope,,,,,,,,,,,,arythmie
aura,convulsions,incontinence,morsure_langue,perte_conscience,,,,,,,,,,,epilepsie
anxiete,douleur_bras_gauche,douleur_thoracique,fatigue_extreme,sueurs_froides,,,,,,,,,,,infarctus
exophtalmie,fatigue,nervosité,palpitations,perte_de_poids,tremblements,,,,,,,,,,hyperthyroidie
anemie,douleurs_musculaires,fatigue,fievre_cyclique,frissons,maux_de_tete,sueurs,,,,,,,,,paludisme
anxiete,douleur_thoracique,essoufflement,fatigue,palpitations,syncope,vertiges,,,,,,,,,arythmie
demangeaisons,douleurs_articulaires,inflammation,ongles_epaissis,peau_ecailleuse,plaques_peau,,,,,,,,,,psoriasis
douleur_position,irradiation_jambe,limitation_mouvement,raideur_dos,,,,,,,,,,,,lombalgie
bradycardie,fatigue,frilosite,oedemes,prise_de_poids,,,,,,,,,,,hypothyroidie
bourdonnements_oreilles,epistaxis,fatigue,maux_de_tete,vision_trouble,,,,,,,,,,,hypertension
anxiete,difficulte_a_parler,fatigue,oppression_thoracique,sifflement_respiratoire,toux_seche,,,,,,,,,,asthme
cheveux_cassants,constipation,fatigue,frilosite,oedemes,peau_seche,prise_de_poids,,,,,,,,,hypothyroidie
anxiete,difficulte_a_parler,essoufflement,fatigue,oppression_thoracique,sifflement_respiratoire,toux_seche,,,,,,,,,asthme
cicatrisation_lente,fatigue,fourmillements,perte_de_poids,urines_frequentes,vision_trouble,,,,,,,,,,diabete_type2
brulures_estomac,douleurs_abdominales,faim_douloureuse,nausees,perte_de_poids,sang_dans_selles,,,,,,,,,,ulcere_gastrique
